sample_id,patch_name,patch_row,patch_col,timepoint,concentration,label,cell_count,soma_area_mean,soma_area_total,perimeter_mean,circularity_mean,eccentricity_mean,solidity_mean,neurite_length,branch_count,neurite_density
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r0c0.png,0,0,before,,,7,420.2857142857143,2942.0,99.35461754020118,0.5385375737076807,0.7505774646232648,0.8647611043536202,365,73,0.12406526172671652
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r0c1.png,0,1,before,,,3,465.3333333333333,1396.0,100.30018031904608,0.5691817828829423,0.6627001168259493,0.8560328312974552,200,51,0.14326647564469913
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r0c2.png,0,2,before,,,5,504.0,2520.0,114.54011537017762,0.5628554801581682,0.7732048060082519,0.8616632855395945,313,67,0.12420634920634921
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r1c0.png,1,0,before,,,7,538.7142857142857,3771.0,115.09428461586742,0.5209939576402876,0.7483600731375392,0.8670199120193846,450,93,0.11933174224343675
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r1c1.png,1,1,before,,,2,714.5,1429.0,119.00052301026327,0.6312963324928241,0.6241726018928256,0.8983423122749926,169,29,0.11826452064380685
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r1c2.png,1,2,before,,,2,755.0,1510.0,120.00052301026327,0.6520788802603629,0.6357811472788059,0.898413267931583,116,24,0.07682119205298013
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r2c0.png,2,0,before,,,4,684.75,2739.0,141.0286976033153,0.5254503870680394,0.767424209854171,0.8486665256015441,280,58,0.1022270901788974
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r2c1.png,2,1,before,,,6,519.8333333333334,3119.0,99.08326112068522,0.6614115731646539,0.567777305799829,0.9022779651813395,245,38,0.0785508175697339
A172_Phase_A7_1_00d00h00m_1_pre,A172_Phase_A7_1_00d00h00m_1_pre_r2c2.png,2,2,before,,,8,404.5,3236.0,106.30369311659656,0.46362227527690714,0.7567123754732692,0.8074757314186398,480,114,0.14833127317676142
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r0c0.png,0,0,before,,,7,496.7142857142857,3477.0,107.96578533920862,0.5490193720666333,0.637618566280944,0.8759452693380967,415,86,0.11935576646534368
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r0c1.png,0,1,before,,,5,518.2,2591.0,112.79453095790605,0.543959466053014,0.7412767055113225,0.8517788695695367,282,55,0.10883828637591664
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r0c2.png,0,2,before,,,6,584.8333333333334,3509.0,106.31507328156192,0.6453495453930045,0.7008630429007369,0.8887428137354751,355,74,0.10116842405243659
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r1c0.png,1,0,before,,,3,547.3333333333334,1642.0,105.00238089164547,0.6158352902813223,0.704298773304285,0.904786601560207,175,37,0.10657734470158343
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r1c1.png,1,1,before,,,4,869.0,3476.0,154.09088193869758,0.4929365675193857,0.6902420694926544,0.8516529848314323,347,77,0.09982738780207134
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r1c2.png,1,2,before,,,3,1008.6666666666666,3026.0,175.3438430975253,0.4361709394458518,0.8860495754342818,0.8241205687699177,308,68,0.10178453403833443
A172_Phase_A7_1_00d00h00m_2_pre,A172_Phase_A7_1_00d00h00m_2_pre_r2c0.png,2,0,before,,,8,438.0,3504.0,108.88212024134276,0.5160642176290358,0.7532085156880115,0.8504957524773945,499,111,0.14240867579908675
